Stop,On,Off,Long,Lat
Fretwell N,32.88,21.27,-80.7293396,35.30755234
Union Deck/Belk N,25.18,16.05,-80.7327652,35.30806732
Wallis Hall E/Light Rail,86.63,63.11,-80.73495483,35.304245
Student Union W,88.82,85.03,-80.73345184,35.30813217
Hickory Hall South,12.85,8.94,-80.7334137,35.31196976
Levine Hall W,33.66,74.11,-80.73303986,35.2671814
Fretwell S,63.98,65.37,-80.72815704,35.30696487
Foundation Bldg. North,11.48,10.25,-80.73635864,35.29781723
Foundation Bldg. South,22.91,19.59,-80.73634338,35.29788971
Harris Alumni Center North,9.01,2.56,-80.73820496,35.30271149
Robinson Hall S,29.58,45.11,-80.73209381,35.30802536
Hunt Hall,85.72,98.96,-80.7329483,35.31174851
Cato Hall S,27.65,25,-80.72825623,35.30515289
Reese West,7.63,5.7,-80.73277283,35.30437851
Robinson Hall N,26.51,6.98,-80.72943878,35.3033371
Student Health E,13.95,14.79,-80.73291016,35.30809403
Cato Hall N,16.16,12.09,-80.72821045,35.3051033
Cone Deck East,14.26,7.8,-80.73497772,35.30423737
Harris Alumni Center South,30.11,31.99,-80.7440567,35.30942917
Aux Services West,3.44,3.61,-80.73022461,35.30812836
Reese East,14.36,11.7,-80.73638916,35.29776764
East Deck 2,0.3,0.37,-80.72676086,35.30635452